Query,Outputs,Correct,Comments
One Plus Mobile Loan,"OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Pitch Black (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Pitch Black (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (12 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Fresh Mint (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Fresh Mint (12 GB RAM)",,
oneplus mobile loan,"OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Pitch Black (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Lunar Pearl (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Fresh Blue (8 GB RAM), OnePlus Nord CE6 5G 128 GB Storage Pitch Black (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (12 GB RAM), OnePlus Nord 6 5G 256 GB Storage Quick Silver (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Fresh Mint (8 GB RAM), OnePlus Nord 6 5G 256 GB Storage Fresh Mint (12 GB RAM)",,
realme mobile P4,"realme P4 Power 5G 128 GB Storage Trans Silver (8 GB RAM), realme P4 Power 5G 256 GB Storage Trans Silver (8 GB RAM), realme P4 Power 5G 256 GB Storage Trans Orange (8 GB RAM), realme P4 Power 5G 256 GB Storage Trans Orange (12 GB RAM), realme P4 Power 5G 256 GB Storage Trans Silver (12 GB RAM), realme P4 Power 5G 128 GB Storage Trans Blue (8 GB RAM), realme P4 Power 5G 256 GB Storage Trans Blue (8 GB RAM), Realme P4 5G 128 GB Storage Engine Blue (6 GB RAM), Realme P4 5G 128 GB Storage Forge Red (6 GB RAM), Realme P4 5G 128 GB Storage Steel Grey (6 GB RAM)",,
mobail,"Samsung Galaxy A37 5G 256 GB Storage Light Violet (12 GB RAM), OnePlus Nord CE6 5G 256 GB Storage Lunar Pearl (8 GB RAM), Redmi 15A 64 GB Storage Black (4 GB RAM), vivo Y31 5G 128 GB Storage Rose Red (6 GB RAM), OPPO A6c 64 GB Storage Stone Brown (4 GB RAM), realme 16T 5G 128 GB Storage Starlight Red (6 GB RAM), Xiaomi 17T 256 GB Storage Black (12 GB RAM), Motorola G37 Power 128 GB Storage Pantone Impenetrable Black (8 GB RAM), Mi A3 128 GB Storage Kind of Grey (6 GB RAM), Infinix Smart 20 64 GB Storage Black (4 GB RAM)",,
Water Purifier,"Livpure Sereno-SS 8-Stage RO + UV + UF + Minerals + Copper, 5.5 L Stainless Steel Tank Water Purifier (Black), Aquaguard 5 L Electric RO + UV Water Purifier Black (AQUAGUARD ENRICH SUPERIO RO+UV+SS 2X), Whirlpool Minerala 90 Elite RO 85 L Water Purifier Grey (Minerala 90 Elite RO), Eureka Forbes 8 L Water Purifier White (AG UTC RO), Hindware 7 Liters Storage Water Purifier Black (WR-17071NNN), LG 8 L Water Purifier RED (WW163EP), Kent 9 L Storage Water Purifier White (Grand Star 11070), AO Smith 5 L Water Purifier White (X3 RO), Luminous 8 Litres Storage Water Purifier (ENVY PLUS), Lloyd 7 L Water Purifier Navy Blue (GHWRPMD015)",,
Iphone 16 Pro,"iPhone 16 Plus 128 GB - Black, iPhone 16 Plus 128 GB - White, iPhone 16 Plus 128 GB - Pink, iPhone 16 Plus 128 GB - Ultramarine, iPhone 16 Plus 128 GB - Teal, iPhone 16 Plus 256 GB - Black, iPhone 16 Plus 256 GB - White, iPhone 16 Plus 256 GB - Pink, iPhone 16 Plus 256 GB - Ultramarine, iPhone 16 Plus 256 GB - Teal",,
Iphone 17 Pro Max 512,"iPhone 17 Pro Max 512 GB - Silver, iPhone 17 Pro Max 512 GB - Cosmic Orange, iPhone 17 Pro Max 512 GB - Deep Blue, iPhone 17 Pro Max 256 GB - Silver, iPhone 17 Pro Max 256 GB - Cosmic Orange, iPhone 17 Pro Max 256 GB - Deep Blue, iPhone 17 Pro Max 1 TB - Silver, iPhone 17 Pro Max 1 TB - Cosmic Orange, iPhone 17 Pro Max 1 TB - Deep Blue, iPhone 17 Pro Max 2 TB - Silver",,
Tuf Gaming Laptop,"Asus TUF Gaming FX505 AMD Ryzen 5 8 GB RAM/1 TB + 256 GB HDD/Windows 10/15.6 inch Laptop (Stealth Black,FX505DD-AL184T), HP Omen 15-ek0025tx Intel Core i5 10th Gen 8 GB RAM/512 GB SSD/Windows 10/15.6 inch Laptop (Shadow Black,HP OMEN GAMING LAPTOP 15EK0025TX), Lenovo IdeaPad Gaming 3 AMD Ryzen 5 Hexa Core 8 GB RAM/1 TB HDD + 256 GB SSD/Windows 10 Home/15.6 inch Laptop (Onyx Black, 82EY0078IN), Dell Dell Gaming G15 5510 Intel Core i5 10th Gen 8 GB RAM/ 512 GB SSD/Windows 10/15.6 inch Laptop (Dark Shadow Grey, D560451WIN9A), Acer Nitro V Gaming Intel Core i5 16 GB RAM/ 512 GB SSD/ Windows 11 Home/ 15.6 inch Laptop (Obsidian Black, NHQN8SI004), MSI Thin 15  Intel Core i7 16 GB RAM/ 1 TB SSD/ 15.6 Inch Gaming Laptop (Cosmos Gray, Thin 15 B12UC-2239IN), Mi Notebook 14 Intel Core i5 10th Gen 8 GB DDR4 RAM/256 GB SSD/Windows 10 Home/14 inch Laptop (Silver, Mi Notebook 14 8+256 i5 27749), Microsoft Surface Pro Intel Core i5 7th Gen 4 GB RAM/ 128 GB SSD/ Windows 10 Home/ 12.3 inch Laptop (Silver,Surface LP FSU029 7Gi5 4GBN 128SSD), LG Gram 17 Intel Core i7 10th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/17 inch Laptop (Dark Silver, 17Z90N-V.AH75A2), Realme Book Slim Intel Core i5 11th Gen 8 GB RAM/512 GB SSD/Windows 10 Home/14 inch Laptop (Real Blue, RMNB1002)",,
Vivo V50,"Vivo v50 Elite 5G 512 GB Rose Red (12 GB RAM), vivo V50 5G 128 GB Storage Rose Red (8 GB RAM), vivo V50 5G 128 GB Storage Rose Red (8 GB RAM), vivo V50 5G 128 GB Storage Starry Night (8 GB RAM), vivo V50 5G 128 GB Storage Starry Night (8 GB RAM), vivo V50 5G 128 GB Storage Titanium Grey (8 GB RAM), vivo V50 5G 128 GB Storage Titanium Grey (8 GB RAM), vivo V50 5G 256 GB Storage Rose Red (8 GB RAM), vivo V50 5G 256 GB Storage Rose Red (8 GB RAM), vivo V50 5G 256 GB Storage Starry Night (8 GB RAM)",,
Samsung Fridge,"Samsung 224 L 2 Star Frost Free Double Door Refrigerator Midnight Blossom Red (RT28C3C32RZ/HL), SAMSUNG 330 L 2 Star Frost Free Double Door Refrigerator Elegant Inox (RT34DG5A2BS8HL), Samsung 183 L 3 Star Direct Cool Single Door Refrigerator Wild Lily Red (RR20F1823WR/HL), Samsung 236 L 2 Star Frost Free Double Door Refrigerator Elegant Inox (RT40H28W2PNL), Samsung 236 L 2 Star Frost Free Double Door Refrigerator Elegant Inox (RT40H28W2PNL), Samsung 530 L 1 Star Frost Free Double Door Refrigerator Black Matt (RT56DG7A6AB1TL), Samsung 467 L 3 Star Frost Free Double Door Refrigerator Black Glass (RT80F51C3BHL), Samsung 467 L 3 Star Double Door Frost Free Luxe Black (RT80F51C3KHL), Samsung 467 L 2 Star Frost Free Double Door Refrigerator Black (RT80F51C2BHL), Samsung 467 L 2 Star Frost Free Double Door Refrigerator Black Doi (RT80F51C2FHL)",,
